id,name,aura,cl,slot,price,weight,description,requirements,full_text,aura_strength,weight_value,price_value,is_intelligent_item
13,Dagger of Venom,faint necromancy,5,none,"8,302 gp",1 lb.,"This black +1 dagger has a serrated edge. It allows the wielder to use a poison effect (as the spell, save DC 14) upon a creature struck by the blade once per day. The wielder can decide to use the power after he has struck. Doing so is a free action, but the poison effect must be invoked in the same round that the dagger strikes.","Craft Magic Arms and Armor, poison","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Dagger of Venom</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint necromancy; <b>CL </b>5th</h5><h5><b>Slot </b>none; <b>Price </b>8,302 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This black <i>+1 dagger</i> has a serrated edge. It allows the wielder to use a <i>poison</i> effect (as the spell, save DC 14) upon a creature struck by the blade once per day. The wielder can decide to use the power after he has struck. Doing so is a free action, but the <i>poison</i> effect must be invoked in the same round that the dagger strikes.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Magic Arms and Armor,<i> poison</i>; <b>Cost </b>4,302 gp</h5></div>",faint,1,8302,FALSE
118,"Boat, Folding",moderate transmutation,6,none,"7,200 gp",4 lbs.,"A folding boat looks like a small wooden box about 12 inches long, 6 inches wide, and 6 inches deep when it is inactive. In this mode, it can be used to store items just like any other box. Yet when the proper command word is given, the box unfolds itself rapidly in the space of a single round to form a boat 10 feet long, 4 feet wide, and 2 feet in depth. A second command word causes it to unfold even further into a ship 24 feet long, 8 feet wide, and 6 feet deep. The folding boat cannot unfold if there isn't enough open space for it to occupy once unfolded. Any objects formerly stored in the box now rest inside the boat or ship. In its smaller form, the boat has one pair of oars, an anchor, a mast, and a lateen sail. In its larger form, the boat has a deck, single rowing seats, five sets of oars, a rudder, an anchor, a deck cabin, and a mast with a square sail. The boat can hold 4 people comfortably, while the ship carries 15 with ease. A third word of command causes the boat or ship to fold itself into a box once again, but only when it is unoccupied.","Craft Wondrous Item, fabricate, creator must have 2 ranks in the Craft (ships) skill","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Boat, Folding</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>6th</h5><h5><b>Slot </b>-; <b>Price </b>7,200 gp; <b>Weight </b>4 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>A <i>folding boat</i> looks like a small wooden box about 12 inches long, 6 inches wide, and 6 inches deep when it is inactive. In this mode, it can be used to store items just like any other box. Yet when the proper command word is given, the box unfolds itself rapidly in the space of a single round to form a boat 10 feet long, 4 feet wide, and 2 feet in depth. A second command word causes it to unfold even further into a ship 24 feet long, 8 feet wide, and 6 feet deep. The <i>folding boat</i> cannot unfold if there isn't enough open space for it to occupy once unfolded. Any objects formerly stored in the box now rest inside the boat or ship. In its smaller form, the boat has one pair of oars, an anchor, a mast, and a lateen sail. In its larger form, the boat has a deck, single rowing seats, five sets of oars, a rudder, an anchor, a deck cabin, and a mast with a square sail. The boat can hold 4 people comfortably, while the ship carries 15 with ease. A third word of command causes the boat or ship to fold itself into a box once again, but only when it is unoccupied.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>fabricate</i>, creator must have 2 ranks in the Craft (ships) skill; <b>Cost </b>3,600 gp</h5></div>",moderate,4,7200,FALSE
125,"Boots, Winged",moderate transmutation,8,feet,"16,000 gp",1 lb.,"These boots appear to be ordinary footgear. On command, they sprout wings at the heel and let the wearer fly, without having to maintain concentration, as if affected by a fly spell (including a +4 bonus on Fly skill checks). He can fly three per times day for up to 5 minutes per flight.","Craft Wondrous Item, fly","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Boots, Winged</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>8th</h5><h5><b>Slot </b>feet; <b>Price </b>16,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>These boots appear to be ordinary footgear. On command, they sprout wings at the heel and let the wearer <i>fly</i>, without having to maintain concentration, as if affected by a <i>fly</i> spell (including a +4 bonus on Fly skill checks). He can <i>fly</i> three per times day for up to 5 minutes per flight.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>fly</i>; <b>Cost </b>8,000 gp</h5></div>",moderate,1,16000,FALSE
214,Lens Of Detection,moderate divination,9,eyes,"3,500 gp",1 lb.,"This circular prism lets its user detect minute details, granting a +5 competence bonus on Perception checks. It also aids in tracking, adding a +5 competence bonus on Survival checks when tracking. The lens is about 6 inches in diameter and set in a frame with a handle.","Craft Wondrous Item, true seeing","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Lens Of Detection</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate divination; <b>CL </b>9th</h5><h5><b>Slot </b>eyes; <b>Price </b>3,500 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This circular prism lets its user detect minute details, granting a +5 competence bonus on Perception checks. It also aids in tracking, adding a +5 competence bonus on Survival checks when tracking. The lens is about 6 inches in diameter and set in a frame with a handle.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>true seeing</i>; <b>Cost </b>1,750 gp</h5></div>",moderate,1,3500,FALSE
249,"Robe, Monk's",moderate transmutation,10,body,"13,000 gp",1 lb.,"This simple brown robe, when worn, confers great ability in unarmed combat. If the wearer has levels in monk, her AC and unarmed damage is treated as a monk of five levels higher. If donned by a character with the Stunning Fist feat, the robe lets her make one additional stunning attack per day. If the character is not a monk, she gains the AC and unarmed damage of a 5th-level monk (although she does not add her Wisdom bonus to her AC). This AC bonus functions just like the monk's AC bonus.","Craft Wondrous Item, righteous might or transformation","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Robe, Monk's</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>10th</h5><h5><b>Slot </b>body; <b>Price </b>13,000 gp; <b>Weight </b>1 lb.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This simple brown robe, when worn, confers great ability in unarmed combat. If the wearer has levels in monk, her AC and unarmed damage is treated as a monk of five levels higher. If donned by a character with the Stunning Fist feat, the robe lets her make one additional stunning attack per day. If the character is not a monk, she gains the AC and unarmed damage of a 5th-level monk (although she does not add her Wisdom bonus to her AC). This AC bonus functions just like the monk's AC bonus.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>righteous might</i> or <i>transformation</i>; <b>Cost </b>6,500 gp</h5></div>",moderate,1,13000,FALSE
258,"Scrab, Golembane",moderate divination,8,neck,"2,500 gp",,"This beetle-shaped pin enables its wearer to detect any golem within 60 feet, although he must concentrate (a standard action) in order for the detection to take place. A scarab enables its possessor to combat golems with weapons, unarmed attacks, or natural weapons as if those golems had no damage reduction.","Craft Wondrous Item, detect magic, creator must be at least 10th level","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Scrab, Golembane</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate divination; <b>CL </b>8th</h5><h5><b>Slot </b>neck; <b>Price </b>2,500 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This beetle-shaped pin enables its wearer to detect any golem within 60 feet, although he must concentrate (a standard action) in order for the detection to take place. A scarab enables its possessor to combat golems with weapons, unarmed attacks, or natural weapons as if those golems had no damage reduction.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>detect magic</i>, creator must be at least 10th level; <b>Cost </b>1,250 gp</h5></div>",moderate,0,2500,FALSE
270,Unguent of Timelessness,faint transmutation,3,none,150 gp,,"When applied to any matter that was once alive, such as wood, paper, or a dead body, this ointment allows that substance to resist the passage of time. Each year of actual time affects the substance as if only a day had passed. The coated object gains a +1 resistance bonus on all saving throws. The unguent never wears off, although it can be magically removed (by dispelling the effect, for instance). One flask contains enough material to coat eight Medium or smaller objects. A Large object counts as two Medium objects, and a Huge object counts as four Medium objects.","Craft Wondrous Item, gentle repose","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Unguent of Timelessness</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>-; <b>Price </b>150 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>When applied to any matter that was once alive, such as wood, paper, or a dead body, this ointment allows that substance to resist the passage of time. Each year of actual time affects the substance as if only a day had passed. The coated object gains a +1 resistance bonus on all saving throws. The unguent never wears off, although it can be magically removed (by dispelling the effect, for instance). One flask contains enough material to coat eight Medium or smaller objects. A Large object counts as two Medium objects, and a Huge object counts as four Medium objects.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>gentle repose</i>; <b>Cost </b>75 gp</h5></div>",faint,0,150,FALSE
271,Universal Solvent,faint transmutation,3,none,50 gp,,"This substance has the unique property of being able to dissolve sovereign glue, tanglefoot bags, and all other adhesives. Applying the solvent is a standard action.","Craft Wondrous Item, acid arrow","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Universal Solvent</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>faint transmutation; <b>CL </b>3rd</h5><h5><b>Slot </b>-; <b>Price </b>50 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This substance has the unique property of being able to dissolve <i>sovereign glue</i>, tanglefoot bags, and all other adhesives. Applying the solvent is a standard action.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>acid arrow</i>; <b>Cost </b>25 gp</h5></div>",faint,0,50,FALSE
273,"Vestment, Druid's",moderate transmutation,10,body,"3,750 gp",,"This light garment is worn over normal clothing or armor. Most such vestments are green, embroidered with plant or animal motifs. When this item is worn by a character with the wild shape ability, the character can use that ability one additional time each day.","Craft Wondrous Item, polymorph or wild shape ability","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Vestment, Druid's</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>moderate transmutation; <b>CL </b>10th</h5><h5><b>Slot </b>body; <b>Price </b>3,750 gp; <b>Weight </b>-</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This light garment is worn over normal clothing or armor. Most such vestments are green, embroidered with plant or animal motifs. When this item is worn by a character with the wild shape ability, the character can use that ability one additional time each day.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>polymorph or wild shape ability</i>; <b>Cost </b>1,375 gp</h5></div>",moderate,0,3750,FALSE
279,Armor Of Rage,strong necromancy,16,armor,,50 lbs.,"This armor is similar in appearance to breastplate of command and functions as a +1 breastplate. However, when it is worn, the armor causes the character to take a -4 penalty to Charisma. All unfriendly characters within 300 feet have a +1 morale bonus on attack rolls against her. The effect is not noticeable to the wearer or those affected. In other words, the wearer does not immediately notice that donning the armor is the cause of her problems, nor do foes understand the reason for the depth of their enmity.",,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Armor Of Rage</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong necromancy; <b>CL </b>16th</h5><h5><b>Slot </b>armor; <b>Weight </b>50 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This armor is similar in appearance to <i>breastplate of command</i> and functions as a <i>+1 breastplate</i>. However, when it is worn, the armor causes the character to take a -4 penalty to Charisma. All unfriendly characters within 300 feet have a +1 morale bonus on attack rolls against her. The effect is not noticeable to the wearer or those affected. In other words, the wearer does not immediately notice that donning the armor is the cause of her problems, nor do foes understand the reason for the depth of their enmity.</p></h4></div><hr/><div><h5><b>CREATION</b></h5></div><hr/><div><h5><b>Magic Items </b><i>breastplate of command, +1 breastplate</i></h5></div>",strong,50,0,FALSE
